frame,total_frames,class,id,cx,cy
0,4646,car,car1,354.15,304.43
0,4646,car,car2,417.89,293.76
0,4646,car,car3,354.9,257.02
0,4646,car,car4,378.65,224.2
0,4646,car,car5,598.92,293.35
0,4646,motorcycle,motorcycle1,360.89,349.74
0,4646,car,car6,451.56,250.71
0,4646,truck,truck1,547.92,377.95
0,4646,truck,truck2,175.37,246.95
0,4646,truck,truck3,264.39,279.38
0,4646,bus,bus1,210.63,201.13
0,4646,bus,bus2,608.49,183.95
0,4646,car,car7,260.37,202.51
0,4646,car,car8,294.42,257.83
0,4646,car,car9,579.28,219.52
0,4646,car,car10,279.34,222.9
0,4646,car,car11,606.3,247.78
0,4646,bus,bus3,464.88,205.06
0,4646,bus,bus4,548.11,377.84
0,4646,car,car12,396.33,199.64
0,4646,bus,bus5,305.4,177.58
0,4646,car,car13,395.23,256.57
0,4646,car,car14,536.42,241.19
0,4646,car,car15,281.09,170.15
1,4646,car,car1,352.92,303.88
1,4646,car,car2,417.57,293.27
1,4646,car,car3,354.74,256.59
1,4646,car,car4,379.67,224.74
1,4646,car,car5,600.48,294.02
1,4646,motorcycle,motorcycle1,359.2,349.94
1,4646,car,car6,453.25,251.73
1,4646,truck,truck1,542.46,377.09
1,4646,truck,truck2,175.06,246.63
1,4646,truck,truck3,264.0,278.55
1,4646,bus,bus1,210.57,200.3
1,4646,bus,bus2,608.49,183.68
1,4646,car,car7,260.38,202.57
1,4646,car,car8,293.43,256.83
1,4646,car,car9,579.39,219.32
1,4646,car,car10,279.12,222.71
1,4646,car,car11,607.0,248.55
1,4646,bus,bus3,464.95,204.65
2,4646,car,car1,351.61,302.76
2,4646,car,car2,417.13,292.73
2,4646,car,car3,354.54,255.83
2,4646,car,car4,380.15,225.51
2,4646,car,car5,601.55,294.27
2,4646,motorcycle,motorcycle1,356.72,349.6
2,4646,car,car6,454.57,253.16
2,4646,truck,truck1,541.55,376.08
2,4646,truck,truck2,174.77,245.94
2,4646,truck,truck3,263.03,277.97
2,4646,bus,bus1,210.43,199.39
2,4646,bus,bus2,608.26,183.71
2,4646,car,car7,260.47,202.54
2,4646,car,car8,293.03,256.65
2,4646,car,car9,579.46,220.21
2,4646,car,car10,278.88,222.37
2,4646,car,car11,606.86,248.66
2,4646,bus,bus3,465.13,204.55
2,4646,car,car16,578.73,273.82
2,4646,car,car17,493.27,250.38
2,4646,car,car14,531.47,236.7
3,4646,car,car1,350.53,302.12
3,4646,car,car2,416.92,292.78
3,4646,car,car3,354.17,254.74
3,4646,car,car4,380.67,225.72
3,4646,car,car5,602.89,294.9
3,4646,motorcycle,motorcycle1,354.25,347.6
3,4646,car,car6,456.21,254.1
3,4646,truck,truck1,543.81,374.8
3,4646,truck,truck2,174.26,245.41
